"id","name","gng","etsng"
"249","Крахмал картофельный","11081300",""
"250","Крахмал,кроме рисового","11081990",""
"251","Клейковина пшеничная,сухая или сырая","11090000",""
"252","Бобы соевые для посева","12010010",""
"253","Арахис нелущеный","12021000",""
"254","Копра","12030000",""
"255","Семена льна для посева","12040010",""
"256","Семена подсолнечника для посева","12060010",""
"257","Семена подсолнечника,лущеные;в лузге серого цвета и с белыми полосками","12060091",""
"258","Орехи и ядра пальмовые для посева","12071010",""
"259","Семена хлопчатника для посева","12072010",""
"260","Семена клещевины для посева","12073010",""
"261","Семена кунжута для посева","12074010",""
"262","Семена мака","12079100",""
"263","Семена мака,к.п.о.","12079190",""
"264","Семена и плоды масличных культур для посева,к.п.о.","12079920",""
"265","Семена конопли","12079991","021054"
"266","",,""
"267","Мука из соевых бобов","12081000",""
"268","Семена сахарной свеклы для посева","12091000",""
"269","Семена люцерны,для посева","12092100",""
"270","Семена клевера для посева","12092200",""
"271","Семена тимофеевки луговой для посева","12092600",""
"272","Семена кормовых растений для посева","12092900",""
"273","Семена люпина для посева","12092950",""
"274","Семена травянистых растений,для получения цветов","12093000",""
"275","Cемена овощных культур,к.п.о.","12099190",""
"276","Семена,плоды и споры для посева,к.п.о.","12099900",""
"277","Семена лесных деревьев","12099910",""
"278","Семена растений для получения цветов,кроме указанных в позиции 1209 30","12099991",""
"279","Семена растений,к.п.о.","12099999",""
"280","Шишки хмеля свежие или сушенные,недробленые,не в порошке и не в гранулах","12101000",""
"281","Растения и их части для парфюмерных,фармацевтических целей свежие или сушеные","12110000",""
"283","Соломка маковая для парфюмерии и фармацевтики свежая или сушеная","12114000",""
"286","Водоросли морские","12122000",""
"287","Косточки абрикосов,персиков (в том числе нектаринов) или слив и их ядра","12123000",""
"288","Свекла сахарная","12129180","044009"
"289","Солома и мякина зерновых,необработанная,измельченная,неизмельченная,прессованная или в виде гранул","12130000",""
"290","Мука грубого помола и гранулы из люцерны,кормовые","12141000",""
"291","Брюква,свекла листовая (мангольд),корнеплоды кормовые,сено,люцерна,клевер,эспарцет,капуста кормовая,люпин,вика и","12149000",""
"292","Свекла листовая,брюква и корнеплоды кормовые","12149010",""
"293","Сено,люцерна,клевер,эспарцет,капуста кормовая,люпин,вика и подобные кормовые продукты,не гранулированные","12149099",""
"294","Шеллак природный неочищенный","13011000",""
"295","Гуммиарабик природный неочищенный","13012000",""
"296","Камеди,смолы природные,гуммисмолы и живица","13019000",""
"297","Камеди,гуммисмолы и живица","13019090",""
"298","Соки и экстракты солодки","13021200",""
"299","Соки и экстракты растительные","13021900",""
"300","Соки и экстракты растительные,кроме лекарственных","13021998",""
"301","Вещества пектиновые,пектинаты и пектаты","13022090",""
"302","Агар-агар","13023100",""
"303","Материалы растительного происхождения для плетения","14019000",""
"304","Материалы растительного происхождения,для метел,щеток,в связках,пучках или навалом","14030000",""
"305","Сырье растительное для крашения или дубления","14041000",""
"306","Линт хлопковый","14042000",""
"307","Материалы растительного происхождения,к.п.о.","14049000",""
"308","Жир свиной,технический","15010011",""
"309","Жир домашней птицы","15010090",""
"310","Жир крупного рогатого скота,овец и коз,кроме жира позиции 1503,","15020090",""
"311","Масло животное,техническое","15030030",""
"312","Жиры из рыбы и их твердые фракции,кроме жира из печени","15042010",""
"313","Жиры морских млекопитающих и их фракции","15043000",""
"314","Жиропот и производные жировые вещества","15050090",""
"315","Жиры животные и их фракции без изменения химического состава","15060000",""
"316","Масло соевое сырое,нерафинированное или рафинированное гидратацией","15071000",""
"317","Масло арахисовое сырое","15081000",""
"318","Масло оливковое первого (холодного) прессования","15091000",""
"319","Масла оливковые,к.п.о.","15100090",""
"320","Масло пальмовое сырое","15111000",""
"321","Масло пальмовое и его фракции без изменения химического состава,","15119000",""
"322","Масло подсолнечное сырое,пищевое","15121191",""
"323","Масло сафлоровое,пищевое,к.п.о.","15121999",""
"324","Масло хлопковое сырое","15122100",""
"325","Масло кокосовое сырое,пищевое,к.п.о.","15131199",""
"326","Масло рапсовое сырое с низким содержанием эруковой кислоты","15141100",""
"327","Масло горчичное сырое,к.п.о.","15149190",""
"328","Жиры растительные и масла,включая масло жожоба,нелетучие и их фракции без изменения химического состава","15150000",""
