"id","code","name","short_name","country_id"
"551","52230","АНГЕЛИНСКАЯ","","7"
"552","90350","АНГОЯ","","7"
"553","72260","АНГРЕН","","3"
"554","74360","АНДИЖАН I","","3"
"555","74200","АНДИЖАН II","","3"
"556","74370","АНДИЖАН-СЕВЕРНЫЙ","","3"
"557","74362","АНДИЖАН-ЮЖНЫЙ","","3"
"558","30541","АНДОМА","","7"
"559","24503","АНДОСОВО","","7"
"560","06790","АНДРЕАПОЛЬ","","7"
"561","13624","АНДРЕЕВИЧИ","","11"
"562","60583","АНДРЕЕВКА","","7"
"564","04560","АНДРЕЕВО","","7"
"565","53600","АНДРЕЕДМИТРИЕВКА","","7"
"566","27771","АНДРЕЙШУР","","7"
"567","42650","АНДРЕЯШЕВКА","","8"
"568","77650","АНДРИАНОВИЧИ","","7"
"569","93314","АНДРИАНОВСКАЯ","","7"
"570","19931","АНДРОНОВКА","","7"
"571","33811","АНДРУСОВО","","8"
"572","34300","АНДРУШЕВКА","","8"
"573","75270","АНЕВ","АНЕВ","2"
"574","39071","АНЕНЫ","","9"
"575","87590","АНЖЕРСКАЯ","","7"
"576","92490","АНЗЕБИ","","7"
"577","56650","АНИ","","10"
"578","99051","АНИВА","","7"
"579","19653","АНИКЕЕВКА","","7"
"580","76232","АНИКИНО","","7"
"581","22584","АНИЛИНОВАЯ","","7"
"582","98360","АНИСИМОВКА","","7"
"583","62550","АНИСОВКА","","7"
"584","32502","АНИСОВО","","8"
"585","81576","АНИХОВКА(УЗК)","","7"
"586","26945","АНКУДИНОВКА","","7"
"587","59120","АННА","","7"
"588","08561","АННЕ","","5"
"589","64392","АННЕНКОВО","","7"
"590","81692","АННЕНСК","","7"
"591","41272","АННОВКА","","8"
"592","80640","АНОСОВО","","7"
"593","91042","АНОСОВСКАЯ","","7"
"594","59733","АНОШКИНО","","7"
"595","70321","АНРАХАЙ","","1"
"596","76733","АНТАБАРЫ","","7"
"597","87653","АНТИБЕССКИЙ","","7"
"598","94230","АНТИПИХА","","7"
"599","33420","АНТОНИНЫ","","8"
"600","15772","АНТОНОВКА","","11"
"603","15472","АНТОПОЛЬ","","11"
"605","50210","АНТРАЦИТ","","8"
"606","88404","АНТРОПОВО","","7"
"608","03240","АНТРОПШИНО","","7"
"609","03260","АНТРОПШИНО ЭКС","","7"
"610","08560","АНТСЛА","","5"
"611","09825","АНУЖИ","","13"
"612","10874","АНУЖЯЙ","","14"
"613","14352","АНУСИНО","","11"
"614","63092","АНУЧИНО","","7"
"615","19475","АНЦИФЕРОВО","","7"
"616","04420","АНЦИФЕРОВО-МОЛОГСКОЕ","","7"
"617","79851","АПАКА","","7"
"618","68290","АПАНОВКА","","1"
"619","01600","АПАТИТЫ","АПАТ","7"
"620","01563","АПАТИТЫ 1","","7"
"621","09284","АПГУЛДЕ","","13"
"622","91321","АПЕТЕНОК","","7"
"623","24552","АПНЕРКА","","7"
"624","53730","АПОЛЛОНСКАЯ","","7"
"625","46660","АПОСТОЛОВО","","8"
"626","78080","АППАРАТНАЯ","АППАР","7"
"627","04847","АПРАКСИН","","7"
"628","18100","АПРЕЛЕВКА","","7"
"629","94802","АПРЕЛКОВО","","7"
"630","65071","АПСАЛЯМОВО","","7"
"631","11334","АПСАНЫ","","13"
"632","53450","АПШЕРОНСКАЯ","","7"
"633","09762","АПШУПЕ","","13"
"634","94561","АРАБАТУК","","7"
"635","56790","АРАБКИР","","10"
"636","54461","АРАБЛИНСКИЙ","","7"
"637","56660","АРАГАЦ","","10"
"638","57334","АРАДУ","","6"
"639","11121","АРАЙШИ","","13"
"640","78221","АРАКАЕВО","","7"
"641","56690","АРАКС","","10"
"642","67035","АРАЛ-КУМ","АР.М.","1"
"643","67030","АРАЛЬСКОЕ МОРЕ","","1"
"644","79440","АРАМИЛЬ","","7"
"645","94572","АРАМОГОЙТУЙ","","7"
"646","28802","АРАНЕЦ","","7"
"647","72160","АРАНЧИ","","3"
"648","56950","АРАРАТ","","10"
"649","80740","АРАСЛАНОВО","","7"
"650","56151","АРАШЕНДА","","6"
"651","63012","АРБЕКОВО","","7"
"652","84610","АРБУЗОВКА","","7"
"653","20500","АРБУЗОВО","","7"
"654","95400","АРГА","","7"
"655","88896","АРГАЗА","АГРЫЗ","7"
"656","70263","АРГАНАТЫ","","1"
"657","80310","АРГАЯШ","","7"
"658","57590","АРГВЕТА","","6"
"659","88886","АРГИДЖЕК","","7"
"660","88551","АРГИСТАР","","7"
"661","54140","АРГУН","","7"
"662","64863","АРГУНОВСКИЙ","","7"
"663","11341","АРДАВА","","13"
"664","24740","АРДАТОВ","","7"
"665","27373","АРДАШИ","","7"
"666","53830","АРДОН","","7"
"667","60840","АРДЫМ","АРДЫМ","7"
"668","56820","АРЕВИК","","10"
"669","56902","АРЕГ","","10"
"670","94901","АРЕДА","","7"
"671","79612","АРЕМЗЯНКА","","7"
"672","24560","АРЗАМАС 1","","7"
"673","24420","АРЗАМАС 2","АРЗ-2","7"
"674","24650","АРЗИНКА","","7"
"675","53773","АРИК","","7"
"676","06351","АРИСТОВО","","7"
"677","68240","АРКА","","1"
"678","60580","АРКАДАК","","7"
"679","68140","АРКАЛЫК","","1"
"680","75393","АРКАЧ","","2"
"681","20463","АРКИНО","","7"
"682","90603","АРКУМ","","7"
"683","87070","АРЛЮК","","7"
"684","56700","АРМАВИР","","10"
"685","53020","АРМАВИР-РОСТОВСКИЙ","","7"
"686","53030","АРМАВИР-ТУАПСИНСКИЙ","","7"
"687","35901","АРМАТНЮВ","","8"
"688","31570","АРМЕНКИ","","7"
"689","25650","АРМЯЗЬ","","7"
"690","47251","АРМЯНСК","","8"
"691","45460","АРОМАТНАЯ","","8"
"692","23680","АРСАКИ","","7"
"693","57405","АРСАУЛ","","6"
"694","99260","АРСЕНТЬЕВКА","","7"
"695","97620","АРСЕНЬЕВ","","7"
"696","21370","АРСЕНЬЕВО","","7"
"697","25350","АРСК","","7"
"698","20772","АРТАКОВО","","7"
"699","56901","АРТАНИШ","","10"
"700","56930","АРТАШАТ","","10"
"701","54190","АРТЕЗИАН","","7"
"702","10476","АРТЕМОВКА","","7"
"704","06573","АРТЕМОВО","","7"
"705","49650","АРТЕМОВСК 1","","8"
"706","49460","АРТЕМОВСК 2","","8"
"707","98240","АРТЕМ-ПРИМОРСКИЙ 1","","7"
"708","98260","АРТЕМ-ПРИМОРСКИЙ 3","","7"
"709","56661","АРТЕНИ","","10"
"710","95071","АРТЕУШКА","","7"
"711","56610","АРТИК","","10"
"712","75220","АРТЫК","","2"
"713","75230","АРТЫК (ЭКСП.)","","2"
"714","86264","АРТЫШТА 1","","7"
"715","86270","АРТЫШТА 2","","7"
"716","08232","АРУКЮЛА","","5"
"717","29040","АРХАНГЕЛЬСК","","7"
"718","29050","АРХАНГЕЛЬСК-ГОРОД","АРХ-Г","7"
"719","29070","АРХАНГЕЛЬСК-ГОРОД-ПЕРЕВАЛКА","","7"
"720","29060","АРХАНГЕЛЬСК-ГОРОД-ЭКСПОРТ","","7"
"721","29120","АРХАНГЕЛЬСК-ПЕРЕВАЛКА","","7"
"722","96060","АРХАРА","","7"
"723","70082","АРХАРЛЫ","","1"
"724","76721","АРХИПОВКА","","7"
"725","40390","АРЦЫЗ","","8"
"726","80345","АРЧАЛЫ","","7"
"727","61380","АРЧЕДА","","7"
"728","94952","АРЧИКОЙ","","7"
"729","75350","АРЧМАН","","2"
"730","56531","АРЧУТ","","10"
"731","56710","АРШАЛУЙС","","10"
"732","47120","АРШИНЦЕВО","","8"
"733","47090","АРШИНЦЕВО-ЭКСПОРТ","","8"
"734","84523","АРЫК","","7"
"735","74012","АРЫКБАШИ","","3"
